Peilingsorganisatie,Datum,PVV,GL/PvdA,VVD,NSC,D66,BBB,CDA,SP,DENK,PvdD,FVD,SGP,CU,Volt,JA21
Peil.nl,2025-07-27,29,27,19,0,10,5,21,8,4,5,4,4,3,3,8
Peil.nl,2025-07-05,29,28,20,0,9,4,21,7,4,4,4,4,3,3,10
Verian,2025-06-24,32,26,26,1,8,3,20,5,3,4,3,3,3,4,9
Peil.nl,2025-06-21,30,29,22,0,8,3,21,7,4,4,4,4,3,3,8
Ipsos I&O,2025-06-16,30,29,24,2,11,4,21,5,3,6,3,3,3,3,3
Verian,2025-06-10,33,25,26,1,10,3,20,6,4,5,3,3,5,4,2
Peil.nl,2025-06-07,31,30,24,1,8,2,19,7,4,4,4,4,3,4,5
Ipsos I&O,2025-06-06,30,26,23,2,12,4,18,5,3,8,5,4,3,3,4
Peil.nl,2025-05-31,31,30,25,1,8,2,18,7,4,4,5,4,3,4,4
Verian,2025-05-27,28,28,30,2,10,2,18,8,4,5,3,3,3,3,3
Ipsos I&O,2025-05-12,29,28,26,1,12,4,17,6,4,6,4,3,3,3,4
Verian,2025-04-29,29,27,28,1,12,3,18,6,4,5,4,3,5,3,2
Peil.nl,2025-04-26,28,29,26,1,8,3,19,8,4,4,5,4,3,4,4
Ipsos I&O,2025-04-14,28,27,26,2,10,5,18,5,4,7,4,3,3,4,4
Peil.nl,2025-04-04,29,29,25,2,9,3,19,7,4,4,5,4,3,3,4
Peil.nl,2025-03-29,29,28,26,2,9,3,18,7,4,4,5,4,3,4,4
Verian,2025-03-25,31,27,28,2,10,2,15,8,4,5,4,4,4,4,2
Ipsos I&O,2025-03-17,30,27,25,2,11,3,18,6,4,7,3,3,4,3,4
Peil.nl,2025-03-08,30,27,23,3,11,4,18,7,4,4,5,4,3,4,3
Verian,2025-02-25,34,27,24,2,13,4,14,8,3,5,2,4,4,4,2
Peil.nl,2025-02-22,32,24,21,3,12,4,17,8,4,5,5,4,4,4,3
Ipsos I&O,2025-02-20,34,24,20,3,11,4,16,8,3,8,4,4,3,5,3
Verian,2025-01-28,38,24,22,3,11,4,16,7,3,5,4,3,3,5,2
Peil.nl,2025-01-24,34,24,21,3,12,5,16,7,4,5,5,4,4,4,2
Ipsos I&O,2025-01-20,35,24,21,2,13,6,16,7,5,6,3,3,3,4,2
Verian,2024-12-31,38,26,23,2,10,4,16,6,4,5,4,2,3,5,2
Peil.nl,2024-12-14,35,25,20,3,11,6,15,7,4,5,5,4,4,4,2
Ipsos I&O,2024-12-09,37,23,22,3,13,5,14,7,4,7,3,3,3,4,2
Verian,2024-11-26,41,26,22,3,11,5,13,7,3,5,3,3,4,3,1
Peil.nl,2024-11-23,38,25,19,3,11,7,14,6,4,4,5,4,4,4,2
Ipsos I&O,2024-11-11,38,26,22,3,12,5,12,8,4,7,3,3,3,3,1
Peil.nl,2024-11-09,38,25,19,4,11,7,13,6,4,4,5,4,4,4,2
Verian,2024-10-29,39,24,23,4,10,7,12,6,4,7,3,3,4,3,1
Peil.nl,2024-10-26,37,26,20,4,11,7,13,6,4,4,4,4,4,4,2
Ipsos I&O,2024-10-21,38,25,21,4,11,5,11,7,3,8,4,3,4,4,2
Peil.nl,2024-10-12,37,26,20,4,11,7,13,6,4,4,4,4,4,4,2
Peil.nl,2024-09-28,40,26,19,5,11,7,12,5,4,4,4,4,4,4,1
Verian,2024-09-24,41,27,23,3,9,7,10,6,3,5,4,3,4,4,1
Ipsos I&O,2024-09-23,41,25,18,6,10,5,11,5,4,7,4,3,4,5,2
Ipsos I&O,2024-09-16,42,24,20,7,11,5,10,6,3,6,5,2,4,4,1
Peil.nl,2024-09-14,38,26,20,7,11,7,11,6,4,4,3,4,4,4,1
Verian,2024-08-27,39,27,23,9,11,6,8,7,4,4,3,3,3,3,0
Ipsos I&O,2024-07-30,40,27,21,11,10,8,9,3,4,5,3,3,2,3,1
Peil.nl,2024-07-06,38,25,19,8,11,8,11,6,4,4,3,4,4,4,1
Peil.nl,2024-06-29,41,26,17,8,10,8,11,6,4,4,3,4,3,4,1
Ipsos,2024-06-25,44,27,20,12,12,6,6,3,3,5,3,3,2,3,1
I&O Research,2024-06-17,42,27,18,7,11,7,9,5,3,7,3,4,3,4,0
Peil.nl,2024-06-08,43,25,19,8,10,8,10,5,3,4,4,3,3,4,1
Peil.nl,2024-06-01,42,25,19,7,10,8,10,6,3,4,5,3,3,4,1
Ipsos,2024-05-30,48,24,19,11,10,7,6,3,3,6,3,3,3,3,1
I&O Research,2024-05-21,46,26,17,8,10,7,7,5,3,5,3,4,4,4,1
Peil.nl,2024-05-18,45,25,18,7,10,8,10,6,3,4,4,3,3,3,1
I&O Research,2024-05-13,47,26,18,8,10,6,7,5,2,5,3,4,4,4,1
Peil.nl,2024-05-04,46,25,17,8,10,8,9,7,3,3,4,3,3,3,1
Ipsos,2024-04-30,45,23,20,11,11,8,5,4,4,5,4,4,3,2,1
Peil.nl,2024-04-19,50,25,15,8,10,7,9,7,3,3,3,3,3,3,1
Ipsos,2024-03-25,49,24,20,11,10,6,6,4,3,4,3,3,3,2,2
Peil.nl,2024-03-22,49,25,15,9,10,7,9,7,3,3,3,3,3,3,1
Peil.nl,2024-03-08,49,25,15,10,10,7,9,7,3,3,3,3,3,2,1
Ipsos,2024-02-28,49,25,19,11,11,8,6,3,4,4,3,3,2,1,1
I&O Research,2024-02-13,49,25,17,9,9,7,7,5,2,5,3,4,3,4,1
Peil.nl,2024-02-09,52,25,13,11,10,8,8,6,3,3,3,3,3,2,0
Peil.nl,2024-02-03,50,25,13,15,10,7,7,6,3,3,3,3,3,2,0
Ipsos,2024-01-30,45,25,19,18,11,6,5,3,3,4,3,3,2,2,1
Peil.nl,2024-01-20,49,23,12,17,10,9,6,6,3,3,3,3,3,3,0
Peil.nl,2023-12-23,48,22,13,18,11,9,6,5,3,3,3,3,3,3,0
Ipsos,2023-12-19,47,22,18,19,9,8,4,3,4,5,3,3,3,2,0
I&O Research,2023-12-14,43,23,16,20,10,8,5,5,2,5,3,3,3,4,0
Peil.nl,2023-12-02,42,22,16,19,11,10,6,5,3,3,3,3,3,3,1
Verkiezingen 2023,2023-11-22,37,25,24,20,9,7,5,5,3,3,3,3,3,2,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
